name,best_val_rankic,best_epoch,total_epochs,time_s
gru_gru_hidden_size=128_num_layers=2_dropout=0.3_lr=0.001,0.098002,19,29,1705.3
gru_gru_hidden_size=128_num_layers=3_dropout=0.1_lr=0.0003,0.101537,19,29,2326.6
gru_gru_hidden_size=128_num_layers=3_dropout=0.1_lr=0.0005,0.102589,15,25,1990.7
gru_gru_hidden_size=128_num_layers=3_dropout=0.1_lr=0.001,0.097918,10,20,1590.9
gru_gru_hidden_size=128_num_layers=3_dropout=0.2_lr=0.0003,0.10037,32,42,3343.6
gru_gru_hidden_size=128_num_layers=3_dropout=0.2_lr=0.0005,0.099139,19,29,2310.8
gru_gru_hidden_size=128_num_layers=3_dropout=0.2_lr=0.001,0.097184,10,20,1687.4
gru_gru_hidden_size=128_num_layers=3_dropout=0.3_lr=0.0003,0.102607,22,32,3081.4
gru_gru_hidden_size=128_num_layers=3_dropout=0.3_lr=0.0005,0.100147,16,26,2129.2
gru_gru_hidden_size=128_num_layers=3_dropout=0.3_lr=0.001,0.096442,9,19,1497.5
tf_tf_d_model=64_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.093934,14,24,2594.3
tf_tf_d_model=64_n_heads=4_n_temporal_layers=3_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.097601,22,32,5001.8
tf_tf_d_model=64_n_heads=8_n_temporal_layers=2_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.096465,21,31,4796.3
tf_tf_d_model=64_n_heads=8_n_temporal_layers=3_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.096942,30,40,8665.0
tf_tf_d_model=96_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.099909,31,41,5525.5
tf_tf_d_model=96_n_heads=4_n_temporal_layers=3_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.095847,16,26,4987.7
tf_tf_d_model=96_n_heads=8_n_temporal_layers=2_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.09814,27,37,6525.5
