signal_date,n,ic,rank_ic
20240415,238,-0.330707718580021,-0.4906121068388991
20240416,1004,0.4487907827143186,0.5528929499550906
20240417,1220,-0.13098973634158018,0.0639760850626957
20240418,1439,-0.19891833711026635,-0.02909514153465341
20240419,1531,-0.056964442241140494,0.013305247108878785
20240422,1620,-0.1337436209530011,-0.1652397532363113
20240423,1667,-0.2164880030328621,-0.10520109046956588
20240424,1712,-0.15477165117294564,-0.07406952484475166
20240425,1747,-0.16711483275346273,-0.04525932968685105
20240426,1782,-0.3062882712402004,-0.33968828480194024
20240429,1812,-0.07238693735456106,0.07221902956668068
20240430,1803,-0.17376859128644861,-0.029798179307648897
20240506,1873,-0.19273156394391874,-0.10967947944786353
20240507,1904,-0.12679883951146967,0.03637870274245684
20240508,1940,-0.0676169846309815,0.008223657499911597
20240509,1981,-0.07393565774283749,0.017364261784227005
20240510,2021,-0.05771744902998822,-0.079907173913542
20240513,2075,-0.04207895341704468,0.060756370852154205
20240514,2119,-0.12786871841446398,-0.009230867229334286
20240515,2150,-0.13554580899040566,-0.2689968846117094
20240516,2190,-0.17631450979779983,-0.2194412535185093
20240517,2217,0.15811992044859335,0.22679146227754163
20240520,2250,0.049052569175806346,0.1175795269822697
20240521,2275,-0.15629909480369664,-0.1794565259983784
20240522,2307,0.009302158020721145,0.1580528368906638
20240523,2346,0.08839744521077568,0.12133630972640348
20240524,2368,0.10701479239596226,0.16167081701467462
20240527,2402,-0.06373990454755561,-0.057037763664655905
20240528,2422,-0.06056880862597797,-0.013928011500564618
20240529,2450,-0.07725500998793385,0.033779285636661584
20240530,2474,-0.09994889710785683,-0.1265601967218067
20240531,2487,0.06618899846497615,0.1743579068537115
20240603,2507,0.09643509631797074,0.0748594003115022
20240604,2531,-0.049128599848588445,-0.09733006467206547
20240605,2556,0.09899955171035613,0.02690399284111846
20240606,2569,0.0646929154607601,0.32437340085531813
20240607,2583,-0.031970685508740354,0.08539212958097325
20240611,2597,-0.1995654463161257,-0.17251613318450906
20240612,2615,-0.07153977966712391,-0.00665579188789533
20240613,2632,-0.04880616775685415,0.019489029370314236
20240614,2649,-0.02440436432018177,0.047911854339437454
20240617,2667,-0.11564076262669386,-0.14806669263723768
20240618,2686,-0.18396010286342712,-0.14992707908206668
20240619,2702,0.08170658239989054,0.2099589882059755
20240620,2718,-0.035191528552372835,0.038512851656013564
20240621,2733,0.046878910763117655,0.08804145811199739
20240624,2743,-0.0036451141499426933,0.0014708769425994203
20240625,2759,-0.010374597958760182,0.053889296471635734
20240626,2771,-0.0733868396678301,-0.014847602245101121
20240627,2784,0.020390188337381397,0.10840102625628753
20240628,2799,0.11046574326273718,0.16261055038943104
20240701,2814,-0.15582904264310307,-0.18390474643440924
20240702,2825,-0.17559179469761485,-0.16334383436155206
20240703,2840,0.22820510658180607,0.3913067842814236
20240704,2864,-0.11808532823092054,-0.04787152108415387
20240705,2877,0.04875555057265248,0.16052744663696292
20240708,2881,0.045705048913659924,-0.013294847253399598
20240709,2896,-0.11316970530122852,-0.07983269989440375
20240710,2911,-0.023850735762518633,0.07145743655498327
20240711,2927,-0.14036889451155912,-0.08431901083653613
20240712,2938,0.0235425051349638,0.23282909941508467
20240715,2959,-0.04210929040711333,-0.022277046048313626
20240716,2970,-0.018492807161792652,0.04378023348558901
20240717,2980,-0.01279390127200488,0.0332898787503301
20240718,2993,-0.0894266915967484,-0.044553334587764594
20240719,3001,-0.13919612705094797,-0.1435819924307308
20240722,3015,-0.10124406071108506,-0.08507806762052016
20240723,3025,-0.01780809495341107,0.051743839946564445
20240724,3031,-0.02158415341877475,-0.043697234607696214
20240725,3038,0.02646592507892918,-0.00270171294671305
20240726,3050,-0.11036702901618925,-0.12503077974257176
20240729,3061,-0.1717472676215051,-0.17372984425381513
20240730,3069,0.1273742818181522,0.1608379850547242
20240731,3080,-0.11531118863049403,-0.06475105471102577
20240801,3090,-0.06425363613695964,0.04816021017331881
20240802,3095,-0.14790967457029203,-0.09631894791013605
20240805,3103,-0.08838316994215285,-0.13115438889882675
20240806,3111,0.046007586085662557,0.1303802039911609
20240807,3118,-0.07149387413818083,-0.04512826706441228
20240808,3128,0.041119662516924754,0.0903337337589387
20240809,3139,0.08597245594651395,0.10615078813023777
20240812,3148,-0.030962922106014083,0.010901926891242118
20240813,3156,-0.16063420181807458,-0.16421570005967312
20240814,3163,-0.15575784846078267,-0.15836641639510793
20240815,3171,-0.09694258166328874,-0.012418808260737654
20240816,3184,0.0018038915066005364,0.06131453051477666
20240819,3191,-0.018569378181215433,0.045480868269473285
20240820,3201,-0.029948939546750947,-0.023041445186191972
20240821,3210,0.06456129096201073,0.13742666000916065
20240822,3216,0.10061148904179168,0.12474322766648455
20240823,3227,-0.002171229544118262,0.03035860884871301
20240826,3236,0.0036759776185981367,0.07342231742782616
20240827,3247,-0.007910785503389027,-0.04419166562835265
20240828,3252,-0.03171477433606969,-0.009023083222510195
20240829,3260,-0.06041322305943472,-0.05276716701736613
20240830,3263,-0.03669780649242501,0.03474267141757424
20240902,3265,-0.09205349142855751,-0.05035454552814888
20240903,3271,0.03289999599722228,0.08447492478099003
20240904,3280,-0.11555872646800593,-0.122432504966674
