trade_date,n_stocks,ic,rank_ic
20260203,593,0.21135902551714425,0.21135902551714425
20260204,593,0.277920965891113,0.277920965891113
20260205,593,0.12577050411444166,0.12577050411444166
20260206,594,-0.023649698219072923,-0.023649698219072923
20260209,594,0.10845576202683667,0.10845576202683667
20260210,594,0.15642614395135185,0.15642614395135185
20260211,594,-0.1560997089318408,-0.1560997089318408
20260212,594,0.25763327957528975,0.25763327957528975
20260213,593,0.04834735257782115,0.04834735257782115
20260224,593,-0.09512787648322991,-0.09512787648322991
20260225,592,-0.19819266964985136,-0.19819266964985136
20260226,593,0.10646313098702197,0.10646313098702197
20260227,593,-0.13966653006097132,-0.13966653006097132
20260302,593,0.17034865330326215,0.17034865330326215
20260303,594,0.039705215631021834,0.039705215631021834
20260304,594,0.161674232162838,0.161674232162838
20260305,594,0.2576850701868741,0.2576850701868741
20260306,595,0.09527666278995334,0.09527666278995334
20260309,596,-0.028636013091307852,-0.028636013091307852
20260310,596,0.04477875957108364,0.04477875957108364
20260311,596,0.11641856271345304,0.11641856271345304
20260312,596,0.34419098546809035,0.34419098546809035
20260313,596,0.15773312423215857,0.15773312423215857
20260316,596,0.3661378331135669,0.3661378331135669
20260317,596,0.13947488858868978,0.13947488858868978
20260318,596,0.13600036197006882,0.13600036197006882
20260319,596,-0.012065857692484541,-0.012065857692484541
20260320,596,-0.09741977153232746,-0.09741977153232746
20260323,596,-0.006183673779402566,-0.006183673779402566
20260324,595,-0.03322792762675683,-0.03322792762675683
20260325,595,0.1309246895140673,0.1309246895140673
20260326,595,0.1132701986825498,0.1132701986825498
20260327,595,0.1189223145185658,0.1189223145185658
20260330,595,0.2913862223231799,0.2913862223231799
20260331,594,0.02817300670562898,0.02817300670562898
20260401,593,0.06272765017970829,0.06272765017970829
20260402,593,-0.08588347186418534,-0.08588347186418534
20260403,593,0.20293304822904648,0.20293304822904648
20260407,592,0.009527339327836257,0.009527339327836257
20260408,594,-0.25924588194761056,-0.25924588194761056
20260409,595,0.2611934394616122,0.2611934394616122
20260410,595,0.003726114415164736,0.003726114415164736
20260413,594,-0.23209304421229027,-0.23209304421229027
20260414,595,0.08863568367593948,0.08863568367593948
20260415,595,0.11658605156179973,0.11658605156179973
20260416,595,-0.16282672108962687,-0.16282672108962687
20260417,595,-0.019698026234901085,-0.019698026234901085
20260420,595,0.02484418159500602,0.02484418159500602
20260421,596,-0.2248682357286089,-0.2248682357286089
20260422,596,0.18987740412065368,0.18987740412065368
20260423,596,0.19581807932527537,0.19581807932527537
20260424,596,0.0524559457107241,0.0524559457107241
20260427,596,0.16945908452880942,0.16945908452880942
20260428,596,0.09312818316475166,0.09312818316475166
20260429,595,-0.030535773617483025,-0.030535773617483025
20260430,595,-0.28744552929492323,-0.28744552929492323
20260506,596,-0.30746025791671067,-0.30746025791671067
20260507,596,0.13867917322010978,0.13867917322010978
20260508,596,-0.19570370968973033,-0.19570370968973033
20260511,596,-0.046947828442109006,-0.046947828442109006
20260512,595,-0.17360822550692204,-0.17360822550692204
20260513,596,0.16671888719008984,0.16671888719008984
20260514,596,0.07517137975620415,0.07517137975620415
20260515,596,-0.06763562918070105,-0.06763562918070105
20260518,596,0.00011523524754865415,0.00011523524754865415
20260519,596,-0.18747840154433515,-0.18747840154433515
20260520,596,0.2606303506581676,0.2606303506581676
20260521,596,-0.05579576122219352,-0.05579576122219352
20260522,596,-0.14402186629058417,-0.14402186629058417
20260525,596,0.08229067839357428,0.08229067839357428
20260526,596,0.0698869449633354,0.0698869449633354
20260527,596,0.0744502131198436,0.0744502131198436
20260528,596,0.4215780808221304,0.4215780808221304
20260529,596,0.3498701582221167,0.3498701582221167
