trade_date,n_stocks,ic,rank_ic
20260105,4903,-0.0501148726426561,-0.0501148726426561
20260106,4902,0.0706922393328378,0.0706922393328378
20260107,4903,0.06286127593456925,0.06286127593456925
20260108,4902,-0.06510221522592885,-0.06510221522592885
20260109,4901,-0.24614488755775435,-0.24614488755775435
20260112,4901,0.3033828099329341,0.3033828099329341
20260113,4897,-0.027300325345797037,-0.027300325345797037
20260114,4896,0.29055855381733225,0.29055855381733225
20260115,4898,0.09463888746776232,0.09463888746776232
20260116,4901,0.060696331773210696,0.060696331773210696
20260119,4904,-0.0319703625251928,-0.0319703625251928
20260120,4909,0.07801757726263149,0.07801757726263149
20260121,4908,0.16236077894849252,0.16236077894849252
20260122,4911,0.15685855387757616,0.15685855387757616
20260123,4912,0.11627575910018166,0.11627575910018166
20260126,4910,0.20760939361992953,0.20760939361992953
20260127,4910,0.05091841986859818,0.05091841986859818
20260128,4909,0.051631871079441935,0.051631871079441935
20260129,4909,0.23519797722084845,0.23519797722084845
20260130,4909,0.08287857781903196,0.08287857781903196
20260202,4912,0.12072219936258091,0.12072219936258091
20260203,4893,0.1903196043895538,0.1903196043895538
20260204,4895,0.2698361825824413,0.2698361825824413
20260205,4894,0.23992958244483165,0.23992958244483165
20260206,4893,-0.06828708510329136,-0.06828708510329136
20260209,4893,0.11848156772205776,0.11848156772205776
20260210,4895,0.22287902905451737,0.22287902905451737
20260211,4894,-0.21261117018149,-0.21261117018149
20260212,4897,0.24947252713603765,0.24947252713603765
20260213,4895,0.15692233197422156,0.15692233197422156
20260224,4897,-0.11269484939623563,-0.11269484939623563
20260225,4894,-0.09965517547574304,-0.09965517547574304
20260226,4897,0.015905879174083138,0.015905879174083138
20260227,4899,-0.19204975542351083,-0.19204975542351083
20260302,4898,0.21949885115365633,0.21949885115365633
20260303,4899,0.026499864723745676,0.026499864723745676
20260304,4899,0.1664765372510492,0.1664765372510492
20260305,4900,0.3758829152949921,0.3758829152949921
20260306,4901,0.01212380646184836,0.01212380646184836
20260309,4905,0.09314812972124689,0.09314812972124689
20260310,4905,-0.015106652035922036,-0.015106652035922036
20260311,4907,0.0560981739841793,0.0560981739841793
20260312,4907,0.31078640980068617,0.31078640980068617
20260313,4907,0.17096088673999116,0.17096088673999116
20260316,4907,0.2789368019306845,0.2789368019306845
20260317,4906,0.07305587746555396,0.07305587746555396
20260318,4906,0.10080125534254174,0.10080125534254174
20260319,4908,-0.07548592031794693,-0.07548592031794693
20260320,4908,-0.2948713687218524,-0.2948713687218524
20260323,4909,0.3128589770787632,0.3128589770787632
20260324,4906,-3.185778130984127e-05,-3.185778130984127e-05
20260325,4906,0.12453592703144029,0.12453592703144029
20260326,4905,0.17232808231131722,0.17232808231131722
20260327,4901,0.18999141713491066,0.18999141713491066
20260330,4900,0.30109548222663113,0.30109548222663113
20260331,4901,0.031785753647208814,0.031785753647208814
20260401,4902,0.08526717993524173,0.08526717993524173
20260402,4902,-0.12010140206351455,-0.12010140206351455
20260403,4903,0.22886411645009067,0.22886411645009067
20260407,4904,-0.042490517004632064,-0.042490517004632064
20260408,4907,-0.23897148263680512,-0.23897148263680512
20260409,4908,0.22758175381189139,0.22758175381189139
20260410,4909,-0.07539199825889722,-0.07539199825889722
20260413,4911,-0.1023095337130708,-0.1023095337130708
20260414,4912,0.07172812300933182,0.07172812300933182
20260415,4910,0.08996715673423673,0.08996715673423673
20260416,4911,-0.09066664605118425,-0.09066664605118425
20260417,4910,0.008287026796297975,0.008287026796297975
20260420,4909,0.03841261644289681,0.03841261644289681
20260421,4913,-0.1929980866005734,-0.1929980866005734
20260422,4913,0.1354539891066688,0.1354539891066688
20260423,4912,0.2063911097365935,0.2063911097365935
20260424,4916,0.12422327051084207,0.12422327051084207
20260427,4917,0.08794773807248413,0.08794773807248413
20260428,4918,0.08544445323158092,0.08544445323158092
20260429,4917,0.07090356613525373,0.07090356613525373
20260430,4915,-0.2865169377665826,-0.2865169377665826
20260506,4918,-0.26183597416154974,-0.26183597416154974
20260507,4921,0.18595499513285924,0.18595499513285924
20260508,4921,-0.14548708149674938,-0.14548708149674938
20260511,4921,-0.10000215553433675,-0.10000215553433675
20260512,4917,-0.14316917038556834,-0.14316917038556834
20260513,4921,0.20041999768219387,0.20041999768219387
20260514,4921,0.10804493624096459,0.10804493624096459
20260515,4921,0.02006001679535483,0.02006001679535483
20260518,4923,0.00013802078792688428,0.00013802078792688428
20260519,4920,-0.17390931913734967,-0.17390931913734967
20260520,4924,0.17401379029260558,0.17401379029260558
20260521,4927,0.011058868109003677,0.011058868109003677
20260522,4926,-0.17777382034363298,-0.17777382034363298
20260525,4926,0.022197729649793004,0.022197729649793004
20260526,4926,0.017043532672459703,0.017043532672459703
20260527,4924,-0.0026835650154628356,-0.0026835650154628356
20260528,4925,0.2756771049296444,0.2756771049296444
20260529,4925,0.410021575679391,0.410021575679391
