trade_date,n_stocks,ic,rank_ic
20260105,4895,-0.07830434356095928,-0.07830434356095928
20260106,4895,-0.003756655991819319,-0.003756655991819319
20260107,4896,0.18051212162064392,0.18051212162064392
20260108,4895,-0.1043327821427336,-0.1043327821427336
20260109,4895,-0.17604213318307305,-0.17604213318307305
20260112,4895,0.40096990529000337,0.40096990529000337
20260113,4890,-0.028375174879796385,-0.028375174879796385
20260114,4889,0.23659355052255132,0.23659355052255132
20260115,4891,0.07409914234306698,0.07409914234306698
20260116,4893,0.2326027021397068,0.2326027021397068
20260119,4896,0.2236914590239477,0.2236914590239477
20260120,4900,0.09060771006456238,0.09060771006456238
20260121,4899,0.213507540193009,0.213507540193009
20260122,4900,-0.06603479510838008,-0.06603479510838008
20260123,4901,0.2482595496884376,0.2482595496884376
20260126,4901,-0.025799665895762876,-0.025799665895762876
20260127,4902,0.04385638934930634,0.04385638934930634
20260128,4901,0.1441132393713181,0.1441132393713181
20260129,4903,0.37041183164086966,0.37041183164086966
20260130,4902,0.2740082165445989,0.2740082165445989
20260202,4904,-0.12358870051939744,-0.12358870051939744
20260203,4904,0.19647497829979996,0.19647497829979996
20260204,4906,0.2712294915985486,0.2712294915985486
20260205,4905,0.2734171727495616,0.2734171727495616
20260206,4904,-0.04842937259646205,-0.04842937259646205
20260209,4904,0.06765703888910116,0.06765703888910116
20260210,4906,0.1926753251027698,0.1926753251027698
20260211,4905,-0.19397290203548054,-0.19397290203548054
20260212,4908,0.24566886289402556,0.24566886289402556
20260213,4906,0.15393970811345137,0.15393970811345137
20260224,4908,-0.10051287847903095,-0.10051287847903095
20260225,4905,-0.0844819584555801,-0.0844819584555801
20260226,4908,0.061202503835767155,0.061202503835767155
20260227,4910,-0.2194680748568392,-0.2194680748568392
20260302,4909,0.1917693326376774,0.1917693326376774
20260303,4910,0.026905251927104537,0.026905251927104537
20260304,4910,0.13625446584228101,0.13625446584228101
20260305,4911,0.35509543351119544,0.35509543351119544
20260306,4912,-0.021226687579603443,-0.021226687579603443
20260309,4916,0.08955604210777401,0.08955604210777401
20260310,4916,0.006829893972206477,0.006829893972206477
20260311,4918,-0.015363006442843946,-0.015363006442843946
20260312,4918,0.2614082403837666,0.2614082403837666
20260313,4918,0.12709383434272703,0.12709383434272703
20260316,4918,0.23334693961318959,0.23334693961318959
20260317,4917,0.2116807059770761,0.2116807059770761
20260318,4917,0.052046351730364204,0.052046351730364204
20260319,4919,-0.12741809281393787,-0.12741809281393787
20260320,4918,-0.33818383651417194,-0.33818383651417194
20260323,4919,0.41294149740104164,0.41294149740104164
20260324,4916,-0.05815010398881571,-0.05815010398881571
20260325,4916,0.10468878099412277,0.10468878099412277
20260326,4915,0.19180097826670778,0.19180097826670778
20260327,4912,0.132981317343433,0.132981317343433
20260330,4911,0.19712101075548663,0.19712101075548663
20260331,4912,0.056775469796520116,0.056775469796520116
20260401,4913,0.1026456337494584,0.1026456337494584
20260402,4913,-0.1558261876770324,-0.1558261876770324
20260403,4914,0.3081495334170676,0.3081495334170676
20260407,4915,0.06583817690211709,0.06583817690211709
20260408,4918,-0.17033270516569765,-0.17033270516569765
20260409,4919,0.19359155328850636,0.19359155328850636
20260410,4920,-0.06706483828349452,-0.06706483828349452
20260413,4922,-0.1345141888563635,-0.1345141888563635
20260414,4923,0.1291976502085999,0.1291976502085999
20260415,4921,0.14265530034503995,0.14265530034503995
20260416,4922,-0.08495358441796406,-0.08495358441796406
20260417,4921,0.0056295500015838724,0.0056295500015838724
20260420,4920,0.06314583489010804,0.06314583489010804
20260421,4924,-0.1769667370809409,-0.1769667370809409
20260422,4924,0.16091497817877595,0.16091497817877595
20260423,4923,0.21598999486859405,0.21598999486859405
20260424,4927,0.10094778144562606,0.10094778144562606
20260427,4928,0.12836501356511545,0.12836501356511545
20260428,4929,0.0998345564221339,0.0998345564221339
20260429,4928,0.06639498648320236,0.06639498648320236
20260430,4922,-0.27702107232558204,-0.27702107232558204
20260506,4925,-0.22553709965426788,-0.22553709965426788
20260507,4928,0.17591006104524984,0.17591006104524984
20260508,4928,-0.09041623318066927,-0.09041623318066927
20260511,4928,-0.0870285626465992,-0.0870285626465992
20260512,4924,-0.16302219130536433,-0.16302219130536433
20260513,4928,0.2599083430382378,0.2599083430382378
20260514,4928,0.1297750995599934,0.1297750995599934
20260515,4928,0.026342773559986387,0.026342773559986387
20260518,4930,-0.027961207565539645,-0.027961207565539645
20260519,4927,-0.1115246365843511,-0.1115246365843511
20260520,4931,0.1506490814463211,0.1506490814463211
20260521,4934,0.07487072512203194,0.07487072512203194
20260522,4933,-0.19282498757927052,-0.19282498757927052
20260525,4933,-0.0007053733415253096,-0.0007053733415253096
20260526,4933,0.0019207535711489728,0.0019207535711489728
20260527,4931,0.0221249393928503,0.0221249393928503
20260528,4932,0.2899725692520917,0.2899725692520917
20260529,4931,0.4021297248692021,0.4021297248692021
