model,n_days,mean_rank_ic,std_rank_ic,icir,ic_positive_pct
V6_Spatial,95,0.06173980568670754,0.15641237002113384,0.39472457119833615,69.47368421052632
V7_GRU,95,0.06864797715569908,0.16445521064684238,0.4174265861549164,65.26315789473685
V7_Spatial,74,0.05193597516426162,0.1626605173738745,0.3192906059980555,64.86486486486487
Wu_CNN-LSTM ⚠️,84,0.012444782914597361,0.11160191081973855,0.11151048242084674,51.19047619047619
