alpha,lr,ic
0.1,0.0003,0.10217935467325606
0.1,0.0005,0.10086046933309546
0.1,0.001,0.09896552497026398
0.3,0.0003,0.10129684304426029
0.3,0.0005,0.10200734003475741
0.3,0.001,0.09928399822631574
0.5,0.0003,0.10082237817194464
0.5,0.0005,0.10121969637219552
0.5,0.001,0.09726499572756543
1.0,0.0003,0.10316593757588148
1.0,0.0005,0.09911543129868576
1.0,0.001,0.09831387587611462
